"lineid:integer:p:line[linename]","stationid:integer:p:station[stationname]","realkilo:integer","fakekilo:integer","kilocompanyid:integer::company[companyname]"
"函館2","流山温泉",56,,
"函館2","銚子口",68,,
"函館2","鹿部",146,,
"函館2","渡島沼尻",200,,
"函館2","渡島砂原",253,,
"函館2","掛澗",290,,
"函館2","尾白内",319,,
"函館2","東森",335,,
"函館2","森",353,,
"日高","苫小牧",0,,
"日高","勇払",131,,
"日高","浜厚真",227,,
"日高","浜田浦",270,,
"日高","鵡川",305,,
"日高","汐見",345,,
"日高","富川",436,,
"日高","日高門別",513,,
"日高","豊郷",563,,
"日高","清畠",611,,
"日高","厚賀",656,,
"日高","大狩部",711,,
"日高","節婦",731,,
"日高","新冠",772,,
"日高","静内",821,,
"日高","東静内",909,,
"日高","春立",970,,
"日高","日高東別",994,,
"日高","日高三石",1058,,
"日高","蓬栄",1098,,
"日高","本桐",1130,,
"日高","荻伏",1202,,
"日高","絵笛",1251,,
"日高","浦河",1303,,
"日高","東町",1324,,
"日高","日高幌別",1369,,
"日高","鵜苫",1411,,
"日高","西様似",1436,,
"日高","様似",1465,,
"富良野","富良野",0,,
"富良野","学田",23,,
"富良野","鹿討",51,,
"富良野","中富良野",75,,
"富良野","ラベンダー畑",90,,
"富良野","西中",106,,
"富良野","上富良野",151,,
"富良野","美馬牛",242,,
"富良野","美瑛",310,,
"富良野","北美瑛",345,,
"富良野","千代ヶ岡",382,,
"富良野","西聖和",425,,
"富良野","西神楽",449,,
"富良野","西瑞穂",474,,
"富良野","西御料",496,,
"富良野","緑が丘",508,,
"富良野","神楽岡",524,,
"富良野","旭川",548,,
"室蘭","長万部",0,,
"室蘭","静狩",106,,
"室蘭","小幌",175,,
"室蘭","礼文",236,,
"室蘭","大岸",277,,
"室蘭","豊浦",361,,
"室蘭","洞爺",415,,
"室蘭","有珠",466,,
"室蘭","長和",515,,
"室蘭","伊達紋別",545,,
"室蘭","北舟岡",574,,
"室蘭","稀府",606,,
"室蘭","黄金",651,,
"室蘭","崎守",673,,
"室蘭","本輪西",727,,
"室蘭","東室蘭",772,,
"室蘭","鷲別",791,,
"室蘭","幌別",868,,
"室蘭","（室）富浦",923,,
"室蘭","登別",947,,
"室蘭","虎杖浜",981,,
"室蘭","竹浦",1029,,
"室蘭","北吉原",1057,,
"室蘭","萩野",1078,,
"室蘭","白老",1136,,
"室蘭","社台",1191,,
"室蘭","錦岡",1254,,
"室蘭","糸井",1306,,
"室蘭","青葉",1328,,
"室蘭","苫小牧",1352,,
"室蘭","沼ノ端",1440,,
"室蘭","遠浅",1529,,
"室蘭","早来",1583,,
"室蘭","安平",1640,,
"室蘭","（室）追分",1708,,
"室蘭","（室）三川",1788,,
"室蘭","古山",1822,,
"室蘭","由仁",1864,,
"室蘭","栗山",1915,,
"室蘭","栗丘",1957,,
"室蘭","栗沢",1996,,
"室蘭","志文",2039,,
"室蘭","岩見沢",2110,,
"室蘭2","東室蘭",0,,
"室蘭2","輪西",23,,
"室蘭2","御崎",42,,
"室蘭2","母恋",59,,
"室蘭2","室蘭",70,,
"留萌","深川",0,,
"留萌","北一已",38,,
"留萌","秩父別",88,,
"留萌","北秩父別",112,,
"留萌","石狩沼田",144,,
"留萌","真布",178,,
"留萌","恵比島",207,,
"留萌","峠下",283,,
"留萌","幌糠",345,,
"留萌","藤山",400,,
"留萌","大和田",442,,
"留萌","留萌",501,,
"留萌","瀬越",522,,
"留萌","礼受",562,,
"留萌","阿分",575,,
"留萌","信砂",602,,
"留萌","舎熊",610,,
"留萌","朱文別",627,,
"留萌","箸別",640,,
"留萌","増毛",668,,
"津軽","青森",0,,
"津軽","油川",60,,
"津軽","津軽宮田",97,,
"津軽","奥内",115,,
"津軽","左堰",131,,
"津軽","後潟",147,,
"津軽","中沢",168,,
"津軽","蓬田",191,,
"津軽","郷沢",211,,
"津軽","瀬辺地",234,,
"津軽","蟹田",270,,
"津軽","中小国",314,,
"津軽","大平",350,,
"津軽","津軽二股",466,,
"津軽","大川平",486,,
"津軽","今別",510,,
"津軽","津軽浜名",527,,
"津軽","三厩",558,,
"東北","東京",0,,
"東北","神田",13,,
"東北","秋葉原",20,,
"東北","御徒町",30,,
"東北","上野",36,,
"東北","鶯谷",47,,
"東北","日暮里",58,,
"東北","西日暮里",63,,
"東北","田端",71,,
"東北","上中里",88,,
"東北","王子",99,,
"東北","東十条",114,,
"東北","赤羽",132,,
"東北","川口",158,,
"東北","西川口",178,,
"東北","蕨",197,,
"東北","南浦和",225,,
"東北","浦和",242,,
"東北","北浦和",260,,
"東北","与野",276,,
"東北","さいたま新都心",287,,
"東北","大宮",303,,
"東北","土呂",333,,
"東北","東大宮",354,,
"東北","蓮田",392,,
"東北","白岡",435,,
"東北","新白岡",459,,
"東北","久喜",489,,
"東北","東鷲宮",516,,
"東北","栗橋",572,,
"東北","古河",647,,
"東北","野木",694,,
"東北","間々田",733,,
"東北","小山",806,,
"東北","小金井",881,,
"東北","自治医大",907,,
"東北","石橋",954,,
"東北","雀宮",1018,,
"東北","宇都宮",1095,,
"東北","岡本",1157,,
"東北","宝積寺",1212,,
"東北","氏家",1271,,
"東北","蒲須坂",1316,,
"東北","片岡",1355,,
"東北","矢板",1418,,
"東北","（北）野崎",1466,,
"東北","西那須野",1518,,
"東北","那須塩原",1578,,
"東北","黒磯",1633,,
"東北","高久",1673,,
"東北","黒田原",1715,,
"東北","豊原",1767,,
"東北","白坂",1820,,
"東北","新白河",1854,,
"東北","白河",1882,,
"東北","久田野",1929,,
"東北","泉崎",1974,,
"東北","矢吹",2034,,
"東北","鏡石",2088,,
"東北","須賀川",2151,,
"東北","安積永盛",2218,,
"東北","（北）郡山",2267,,
"東北","日和田",2324,,
"東北","五百川",2369,,
"東北","本宮",2407,,
"東北","杉田",2466,,
"東北","二本松",2503,,
"東北","安達",2545,,
"東北","松川",2595,,
"東北","金谷川",2640,,
"東北","南福島",2694,,
"東北","（北）福島",2728,,
"東北","東福島",2788,,
"東北","伊達",2819,,
"東北","桑折",2859,,
"東北","藤田",2893,,
"東北","貝田",2949,,
"東北","越河",2986,,
"東北","（北）白石",3068,,
"東北","東白石",3110,,
"東北","北白川",3153,,
"東北","（北）大河原",3201,,
"東北","（北）船岡",3231,,
"東北","槻木",3277,,
"東北","岩沼",3379,,
"東北","館腰",3414,,
"東北","名取",3441,,
"東北","南仙台",3463,,
"東北","長町",3473,,
"東北","仙台",3518,,
"東北","東仙台",3558,,
"東北","岩切",3599,,
"東北","陸前山王",3622,,
"東北","国府多賀城",3635,,
"東北","塩釜",3652,,
"東北","松島",3752,,
"東北","愛宕",3772,,
"東北","品井沼",3816,,
"東北","鹿島台",3866,,
"東北","松山町",3915,,
"東北","小牛田",3950,,
"東北","田尻",4011,,
"東北","瀬峰",4078,,
"東北","梅ヶ沢",4115,,
"東北","（北）新田",4162,,
"東北","石越",4235,,
"東北","油島",4270,,
"東北","花泉",4312,,
"東北","清水原",4344,,
"東北","有壁",4378,,
"東北","一ノ関",4451,,
"東北","山ノ目",4480,,
"東北","平泉",4523,,
"東北","前沢",4599,,
"東北","陸中折居",4651,,
"東北","水沢",4701,,
"東北","金ヶ崎",4777,,
"東北","六原",4811,,
"東北","北上",4875,,
"東北","村崎野",4922,,
"東北","花巻",5000,,
"東北","花巻空港",5057,,
"東北","石鳥谷",5114,,
"東北","日詰",5168,,
"東北","紫波中央",5186,,
"東北","古館",5215,,
"東北","矢幅",5251,,
"東北","岩手飯岡",5296,,
"東北","仙北町",5335,,
"東北","盛岡",5353,,
"東北2","日暮里",0,,
"東北2","尾久",26,,
"東北2","赤羽",76,,
"東北3","岩切",0,,
"東北3","新利府",25,,
"東北3","利府",42,,
"大湊","野辺地",0,,
"大湊","北野辺地",28,,
"大湊","有戸",96,,
"大湊","吹越",230,,
"大湊","陸奥横浜",301,,
"大湊","有畑",360,,
"大湊","近川",427,,
"大湊","金谷沢",477,,
"大湊","赤川",532,,
"大湊","下北",555,,
"大湊","大湊",584,,
"八戸","八戸",0,,
"八戸","長苗代",34,,
"八戸","本八戸",55,,
"八戸","小中野",73,,
"八戸","陸奥湊",90,,
"八戸","白銀",103,,
"八戸","鮫",118,,
"八戸","プレイピア白浜",162,,
"八戸","陸奥白浜",175,,
"八戸","種差海岸",196,,
"八戸","大久喜",218,,
"八戸","金浜",243,,
"八戸","大蛇",258,,
"八戸","階上",275,,
"八戸","角の浜",295,,
"八戸","平内",321,,
"八戸","種市",342,,
"八戸","玉川",381,,
"八戸","宿戸",400,,
"八戸","陸中八木",431,,
"八戸","有家",458,,
"八戸","陸中中野",484,,
"八戸","侍浜",544,,
"八戸","陸中夏井",617,,
"八戸","久慈",649,,
"奥羽","（北）福島",0,,
"奥羽","笹木野",38,,
"奥羽","庭坂",69,,
"奥羽","赤岩",146,,
"奥羽","板谷",212,,
"奥羽","峠",245,,
"奥羽","（奥）大沢",288,,
"奥羽","関根",348,,
"奥羽","米沢",401,,
"奥羽","置賜",456,,
"奥羽","高畠",499,,
"奥羽","赤湯",561,,
"奥羽","中川",644,,
"奥羽","羽前中山",683,,
"奥羽","かみのやま温泉",750,,
"奥羽","茂吉記念館前",778,,
"奥羽","蔵王",818,,
"奥羽","山形",871,,
"奥羽","北山形",890,,
"奥羽","羽前千歳",919,,
"奥羽","南出羽",936,,
"奥羽","漆山",949,,
"奥羽","高擶",970,,
"奥羽","天童",1004,,
"奥羽","乱川",1034,,
"奥羽","神町",1063,,
"奥羽","さくらんぼ東根",1081,,
"奥羽","東根",1106,,
"奥羽","村山",1135,,
"奥羽","袖崎",1215,,
"奥羽","大石田",1269,,
"奥羽","北大石田",1308,,
"奥羽","芦沢",1337,,
"奥羽","舟形",1403,,
"奥羽","新庄",1486,,
"奥羽","泉田",1542,,
"奥羽","羽前豊里",1613,,
"奥羽","真室川",1640,,
"奥羽","釜淵",1732,,
"奥羽","大滝",1803,,
"奥羽","及位",1858,,
"奥羽","院内",1944,,
"奥羽","横堀",1984,,
"奥羽","三関",2044,,
"奥羽","上湯沢",2071,,
"奥羽","湯沢",2104,,
"奥羽","下湯沢",2145,,
"奥羽","十文字",2178,,
"奥羽","醍醐",2212,,
"奥羽","柳田",2244,,
"奥羽","横手",2283,,
"奥羽","後三年",2347,,
"奥羽","飯詰",2398,,
"奥羽","大曲",2470,,
"奥羽","神宮寺",2530,,
"奥羽","刈和野",2606,,
"奥羽","峰吉川",2654,,
"奥羽","羽後境",2719,,
"奥羽","大張野",2800,,
"奥羽","和田",2854,,
"奥羽","四ツ小屋",2923,,
"奥羽","秋田",2987,,
"奥羽","土崎",3058,,
"奥羽","上飯島",3083,,
"奥羽","（奥）追分",3117,,
"奥羽","（奥）大久保",3189,,
"奥羽","羽後飯塚",3222,,
"奥羽","井川さくら",3236,,
"奥羽","八郎潟",3275,,
"奥羽","鯉川",3330,,
"奥羽","鹿渡",3384,,
"奥羽","森岳",3451,,
"奥羽","北金岡",3494,,
"奥羽","東能代",3554,,
"奥羽","鶴形",3603,,
"奥羽","富根",3655,,
"奥羽","二ツ井",3722,,
"奥羽","前山",3795,,
"奥羽","鷹ノ巣",3849,,
"奥羽","糠沢",3881,,
"奥羽","早口",3935,,
"奥羽","下川沿",3977,,
"奥羽","大館",4029,,
"奥羽","（奥）白沢",4094,,
"奥羽","陣場",4165,,
"奥羽","津軽湯の沢",4223,,
"奥羽","碇ヶ関",4272,,
"奥羽","長峰",4320,,
"奥羽","大鰐温泉",4353,,
"奥羽","石川",4407,,
"奥羽","弘前",4471,,
"奥羽","撫牛子",4498,,
"奥羽","川部",4534,,
"奥羽","北常盤",4566,,
"奥羽","浪岡",4621,,
"奥羽","大釈迦",4672,,
"奥羽","鶴ヶ坂",4734,,
"奥羽","津軽新城",4788,,
"奥羽","新青森",4806,,
"奥羽","青森",4845,,
,,,,
"東海道","東京",0,,
"東海道","有楽町",8,,
"東海道","新橋",19,,
"東海道","浜松町",31,,
"東海道","田町",46,,
"東海道","品川",68,,
"東海道","大井町",92,,
"東海道","大森",114,,
"東海道","蒲田",144,,
"東海道","川崎",182,,
"東海道","鶴見",217,,
"東海道","新子安",248,,
"東海道","東神奈川",270,,
"東海道","横浜",288,,
"東海道","保土ヶ谷",318,,
"東海道","東戸塚",367,,
"東海道","戸塚",409,,
"東海道","大船",465,,
"東海道","藤沢",511,,
"東海道","辻堂",548,,
"東海道","茅ヶ崎",586,,
"東海道","平塚",638,,
"東海道","大磯",678,,
"東海道","二宮",731,,
"東海道","国府津",777,,
"東海道","鴨宮",808,,
"東海道","小田原",839,,
"東海道","早川",860,,
"東海道","根府川",904,,
"東海道","真鶴",958,,
"東海道","湯河原",991,,
"東海道","熱海",1046,,
"東海道","函南",1145,,
"東海道","三島",1207,,
"東海道","沼津",1262,,
"東海道","片浜",1303,,
"東海道","原",1328,,
"東海道","東田子の浦",1374,,
"東海道","吉原",1413,,
"東海道","富士",1462,,
"東海道","富士川",1497,,
"東海道","新蒲原",1525,,
