"name:text:u","yomi:text","denryaku:text:u","urban:integer:n","yamanote:integer:n","densha:integer:n","comment:trash"
"青島","あおしま","カコアシ",,,,
"折生迫","おりゅうざこ","カコオコ",,,,
"内海","うちうみ","カコチミ",,,,
"小内海","こうちうみ","カココミ",,,,
"伊比井","いびい","カコイヒ",,,,
"北郷","きたごう","カコキタ",,,,
"内之田","うちのだ","カコウチ",,,,
"飫肥","おび","カコオヒ",,,,
"日南","にちなん","カコニナ",,,,
"油津","あぶらつ","カコラツ",,,,
"大堂津","おおどうつ","カコトツ",,,,
"南郷","なんごう","カコナウ",,,,
"谷之口","たにのくち","カコクチ",,,,
"榎原","よわら","カコヨハ",,,,
"日向大束","ひゅうがおおつか","カコオツ",,,,
"日向北方","ひゅうがきたかた","カコウキ",,,,
"串間","くしま","カコシマ",,,,
"福島今町","ふくしまいままち","カコフイ",,,,
"福島高松","ふくしまたかまつ","カコタマ",,,,
"大隅夏井","おおすみなつい","カコオナ",,,,
"志布志","しぶし","カコシシ",,,,
"宮崎空港","みやざきくうこう","カコミク",,,,"宮崎空港"
"郡元","こおりもと","カココオ",,,,"指宿枕崎"
"南鹿児島","みなみかごしま","カコミカ",,,,
"宇宿","うすき","カコウス",,,,
"谷山","たにやま","カコタヤ",,,,
"慈眼寺","じげんじ","カコシカ",,,,
"坂之上","さかのうえ","カコサノ",,,,
"五位野","ごいの","カココイ",,,,
"平川","ひらかわ","カコヒラ",,,,
"瀬々串","せせくし","カコセセ",,,,
"中名","なかみょう","カコナカ",,,,
"喜入","きいれ","カコキイ",,,,
"前之浜","まえのはま","カコマエ",,,,
"生見","ぬくみ","カコヌク",,,,
"薩摩今和泉","さつまいまいずみ","カコイマ",,,,
"宮ヶ浜","みやがはま","カコミヤ",,,,
"二月田","にがつでん","カコニク",,,,
"指宿","いぶすき","カコイス",,,,
"山川","やまかわ","カコマワ",,,,
"大山","おおやま","カコオヤ",,,,
"西大山","にしおおやま","カコニオ",,,,
"薩摩川尻","さつまかわしり","カコワリ",,,,
"東開聞","ひがしかいもん","カコヒカ",,,,
"開聞","かいもん","カコイモ",,,,
"（指）入野","いりの","カコイノ",,,,
"頴娃","えい","カコエイ",,,,
"西頴娃","にしえい","カコニエ",,,,
"御領","ごりょう","カコリヨ",,,,
"石垣","いしかき","カコイシ",,,,
"水成川","みずなりかわ","カコミリ",,,,
"頴娃大川","えいおおかわ","カコエオ",,,,
"松ヶ浦","まつがうら","カコマツ",,,,
"薩摩塩屋","さつましおや","カコシヤ",,,,
"（指）白沢","しらさわ","カコシサ",,,,
"薩摩板敷","さつまいたしき","カコサイ",,,,
"枕崎","まくらざき","カコマク",,,,
"新鳥栖","しんとす","NULL",,,,
"新大牟田","しんおおむた","NULL",,,,
"新玉名","しんたまな","NULL",,,,
"新水俣","しんみなまた","クマシナ",,,,
"出水","いずみ","カコシス",,,,
